"Method_Name","Total_Number_Of_Lines","Cyclomatic_Complexity"
"InstanceReturningScannerSupplierImpl.Constructor",3,0
"InstanceReturningScannerSupplierImpl.get",3,1
"InstanceReturningScannerSupplierImpl.getAllChecks",3,1
"InstanceReturningScannerSupplierImpl.getEnabledChecks",3,1
"InstanceReturningScannerSupplierImpl.severities",3,1
"InvalidCommandLineOptionException.Constructor",3,0
"InvalidPatternSyntax.isValidSyntax",11,0
"InvalidPatternSyntax.matches",4,0
"InvalidPatternSyntax.matchMethodInvocation",22,0
"IsStatic.matches",4,2
"IsSymbol.Constructor",3,0
"IsSymbol.matches",4,1
"JavacErrorDescriptionListener.apply",3,0
"JavacErrorDescriptionListener.Constructor",13,0
"JavacErrorDescriptionListener.onDescribed",40,0
"JUnit3TestNotRun.matchMethod",25,4
"JUnit4SetUpNotRun.annotationReplacements",5,1
"JUnit4SetUpNotRun.correctAnnotation",3,1
"JUnit4SetUpNotRun.methodMatcher",3,1
"JUnit4TearDownNotRun.annotationReplacements",5,1
"JUnit4TearDownNotRun.correctAnnotation",3,1
"JUnit4TearDownNotRun.methodMatcher",3,1
"JUnit4TestNotRun.matchMethod",26,4
"JUnitAmbiguousTestClass.matchClass",3,2
"LockMethodChecker.buildMessage",4,1
"LockMethodChecker.getActual",3,1
"LockMethodChecker.getLockExpressions",6,2
"LockMethodChecker.getUnwanted",3,1
"LongLiteralLowerCaseSuffix.getLongLiteral",14,0
"LongLiteralLowerCaseSuffix.matches",8,0
"LongLiteralLowerCaseSuffix.matchLiteral",9,0
"MethodHasParameters.Constructor",3,0
"MethodHasParameters.getChildNodes",4,1
"MethodInvocationArgument.Constructor",4,0
"MethodInvocationArgument.matches",6,2
"MethodInvocationMethodSelect.Constructor",3,0
"MethodInvocationMethodSelect.matches",3,1
"MethodVisibility.Constructor",3,0
"MethodVisibility.matches",10,0
"MethodVisibility.toModifier",3,0
"MisusedWeekYear.constructDescription",12,5
"MisusedWeekYear.matchMethodInvocation",6,2
"MisusedWeekYear.matchNewClass",6,2
