AbstractNullnessPropagationTransfer.visitThisLiteral,3
AbstractNullnessPropagationTransfer.visitThrow,3
AbstractNullnessPropagationTransfer.visitThrow,5
AbstractNullnessPropagationTransfer.visitTypeCast,3
AbstractNullnessPropagationTransfer.visitTypeCast,4
AbstractNullnessPropagationTransfer.visitUnsignedRightShift,3
AbstractNullnessPropagationTransfer.visitUnsignedRightShift,4
AbstractNullnessPropagationTransfer.visitValueLiteral,3
AbstractNullnessPropagationTransfer.visitVariableDeclaration,3
AbstractNullnessPropagationTransfer.visitVariableDeclaration,4
AbstractNullnessPropagationTransfer.visitWideningConversion,3
AbstractNullnessPropagationTransfer.visitWideningConversion,4
AbstractReturnValueIgnored.describe,24
AbstractReturnValueIgnored.identifierHasName,9
AbstractReturnValueIgnored.matchMethodInvocation,6
AbstractReturnValueIgnored.specializedMatcher,0
AbstractSuppressWarningsMatcher.getSuggestedFix,38
AbstractSuppressWarningsMatcher.processSuppressWarningsValues,0
AbstractTypeMatcher.matches,0
AdjustedPosition.getEndPosition,3
AdjustedPosition.getPreferredPosition,3
AdjustedPosition.getStartPosition,3
AdjustedPosition.getTree,3
AnnotationDoesNotHaveArgument.matches,3
Annotation.getChildNodes,13
AnnotationHasArgumentWithValue.matches,19
AnnotationMatcherUtils.getArgument,14
AnnotationType.matches,9
AppliedFix.apply,34
AppliedFix.fromSource,3
AppliedFix.getNewCodeSnippet,3
AppliedFix.isRemoveLine,3
ArrayEquals.matchMethodInvocation,15
ArrayHashCode.matchMethodInvocation,13
ArraysAsListPrimitiveArray.matchMethodInvocation,12
ArrayToStringCompoundAssignment.matchCompoundAssignment,9
ArrayToStringConcatenation.matchBinary,15
ArrayToString.matchMethodInvocation,14
ASTHelpers.constValue,3
ASTHelpers.enclosingClass,3
ASTHelpers.enclosingPackage,3
ASTHelpers.enclosingSymbol,9
ASTHelpers.enumValues,16
ASTHelpers.findEnclosingNode,4
ASTHelpers.findPathFromEnclosingNodeToTopLevel,6
ASTHelpers.findSuperMethod,12
ASTHelpers.findSuperMethods,19
ASTHelpers.getActualStartPosition,13
ASTHelpers.getAnnotation,3
ASTHelpers.getAnnotation,4
ASTHelpers.getAnnotationName,4
ASTHelpers.getNullnessValue,4
ASTHelpers.getReceiver,9
ASTHelpers.getReceiverType,10
ASTHelpers.getReturnType,10
ASTHelpers.getRootAssignable,20
ASTHelpers.getSymbol,27
ASTHelpers.getSymbol,3
ASTHelpers.getSymbol,7
ASTHelpers.getType,16
ASTHelpers.hasAnnotation,3
ASTHelpers.isGeneratedConstructor,6
ASTHelpers.matchBinaryTree,10
ASTHelpers.sameVariable,25
BadShiftAmount.matchBinary,24
BadShiftAmount.matches,17
BugChecker.allNames,3
BugChecker.buildDescription,3
BugChecker.canonicalName,3
BugChecker.createLinkUrl,15
BugChecker.customSuppressionAnnotation,3
BugChecker.defaultSeverity,3
BugChecker.describeMatch,3
BugChecker.equals,7
BugChecker.hashCode,3
BugChecker.linkUrl,3
BugChecker.matchAnnotatedType,0
BugChecker.matchAnnotation,0
BugChecker.matchArrayAccess,0
BugChecker.matchArrayType,0
BugChecker.matchAssert,0
BugChecker.matchAssignment,0
BugChecker.matchBinary,0
BugChecker.matchBlock,0
BugChecker.matchBreak,0
BugChecker.matchCase,0
BugChecker.matchCatch,0
BugChecker.matchClass,0
BugChecker.matchCompilationUnit,0
BugChecker.matchCompoundAssignment,0
BugChecker.matchConditionalExpression,0
BugChecker.matchContinue,0
BugChecker.matchDoWhileLoop,0
BugChecker.matchEmptyStatement,0
BugChecker.matchEnhancedForLoop,0
BugChecker.matchExpressionStatement,0
BugChecker.matchForLoop,0
BugChecker.matchIdentifier,0
BugChecker.matchIf,0
BugChecker.matchImport,0
BugChecker.matchInstanceOf,0
BugChecker.matchIntersectionType,0
BugChecker.matchLabeledStatement,0
BugChecker.matchLambdaExpression,0
BugChecker.matchLiteral,0
BugChecker.matchMemberReference,0
BugChecker.matchMemberSelect,0
BugChecker.matchMethod,0
BugChecker.matchMethodInvocation,0
BugChecker.matchModifiers,0
BugChecker.matchNewArray,0
BugChecker.matchNewClass,0
BugChecker.matchParameterizedType,0
BugChecker.matchParenthesized,0
BugChecker.matchPrimitiveType,0
BugChecker.matchReturn,0
BugChecker.matchSwitch,0
BugChecker.matchSynchronized,0
BugChecker.matchThrow,0
BugChecker.matchTry,0
BugChecker.matchTypeCast,0
BugChecker.matchTypeParameter,0
BugChecker.matchUnary,0
BugChecker.matchUnionType,0
BugChecker.matchVariable,0
BugChecker.matchWhileLoop,0
BugChecker.matchWildcard,0
BugChecker.maturity,3
BugChecker.message,3
BugChecker.severity,3
BugChecker.suppressibility,3
BuiltInCheckerSuppliers.allChecks,3
BuiltInCheckerSuppliers.apply,3
BuiltInCheckerSuppliers.matureChecks,3
CannotMockFinalClass.matchMethodInvocation,3
CannotMockFinalClass.matchVariable,3
ChainingConstructorIgnoresParameter.evaluateCallers,29
ChainingConstructorIgnoresParameter.indexTypeByName,7
ChainingConstructorIgnoresParameter.isIdentifierWithName,3
ChainingConstructorIgnoresParameter.matchCompilationUnit,5
ChainingConstructorIgnoresParameter.matchMethod,8
ChainingConstructorIgnoresParameter.matchMethodInvocation,8
ChainingConstructorIgnoresParameter.referencesIdentifierWithName,10
ChainingConstructorIgnoresParameter.reportMatch,3
CheckReturnValue.checkEnclosingClasses,11
CheckReturnValue.checkPackage,3
CheckReturnValue.matchClass,6
CheckReturnValue.matches,19
CheckReturnValue.matchMethod,24
CheckReturnValue.shouldCheckReturnValue,9
CheckReturnValue.specializedMatcher,3
ChildMultiMatcher.create,11
ChildMultiMatcher.create,3
ChildMultiMatcher.getChildNodes,0
ChildMultiMatcher.getMatchingNode,3
ChildMultiMatcher.match,3
ChildMultiMatcher.matches,0
ChildMultiMatcher.matches,11
ChildMultiMatcher.matches,7
ChildMultiMatcher.matches,8
ChildMultiMatcher.matches,9
ChildMultiMatcher.matchingNode,0
ChildMultiMatcher.none,3
ChildMultiMatcher.state,0
ChildMultiMatcher.tree,0
ClassCanBeStatic.matchClass,21
ClassCanBeStatic.matches,3
ClassCanBeStatic.matches,4
ClassCanBeStatic.referenceEnclosing,3
CollectionIncompatibleType.argCastableToMethodReceiverTypeParam,3
CollectionIncompatibleType.matchMethodInvocation,6
ComparisonOutOfRange.describe,26
ComparisonOutOfRange.init,15
ComparisonOutOfRange.matchBinary,6
ComparisonOutOfRange.matches,37
CompileTimeConstantChecker.matchArguments,28
CompileTimeConstantChecker.matches,4
CompileTimeConstantChecker.matches,8
CompileTimeConstantChecker.matchMethodInvocation,6
CompileTimeConstantChecker.matchNewClass,6
CompileTimeConstantExpressionMatcher.hasAttribute,4
CompileTimeConstantExpressionMatcher.hasCompileTimeConstantAnnotation,3
CompileTimeConstantExpressionMatcher.matches,18
CompileTimeConstantExpressionMatcher.matches,3
CompileTimeConstantExpressionMatcher.matches,4
CompoundAssignment.matches,6
CompoundAssignment.validateOperators,8
ConstantPropagationAnalysis.numberValue,7
Constructor.matches,14
ConstructorOfClass.getChildNodes,9
CovariantEquals.matchMethod,30
CovariantEquals.visitIdentifier,6
DataFlow.equals,13
DataFlow.expressionDataflow,14
DataFlow.findPathFromEnclosingNodeToTopLevel,6
DataFlow.getAnalysis,0
DataFlow.getCFG,3
DataFlow.getControlFlowGraph,0
DataFlow.getEnvironment,3
DataFlow.getMethodPath,3
DataFlow.getTransferFunction,3
DataFlow.hashCode,3
DataFlow.load,12
DataFlow.load,8
DataFlow.methodDataflow,22
DeadException.getChildNodes,13
DeadException.matchNewClass,14
DepAnn.checkDeprecatedAnnotation,10
DepAnn.matchClass,3
DepAnn.matchMethod,3
DepAnn.matchVariable,3
DescendantOf.matches,18
Description.addFix,7
Description.applySeverityOverride,3
Description.build,3
Description.builder,3
Description.getMessage,3
Description.getMessageWithoutCheckName,3
Description.linkTextForDiagnostic,3
DescriptionListener.onDescribed,0
Description.setMessage,7
DivZero.matchBinary,3
DivZero.matchCompoundAssignment,3
DivZero.matchDivZero,14
EditDistance.getEditDistance,3
EditDistance.getEditDistance,33
EditDistance.isEmptyOrWhitespace,3
ElementsCountedInLoop.extractSingleStatement,10
ElementsCountedInLoop.getIncrementedIdentifer,40
ElementsCountedInLoop.isConstantOne,15
ElementsCountedInLoop.matchEnhancedForLoop,20
ElementsCountedInLoop.matchWhileLoop,14
EmptyIfStatement.matchEmptyStatement,19
Enclosing.matches,15
Enclosing.matches,8
EndPosTableUtil.getEntries,21
EndPosTableUtil.getFieldOrDie,9
EndPosTableUtil.getMap,7
